抓取日期,發行機構代碼,發行機構名稱,債券名稱,掛牌日期,發行資料
2026-09-04,6451,訊芯科技控股股份有限公司,訊芯科技控股股份有限公司中華民國境內第二次無擔保轉換公司債,114/02/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=64512&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6451&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1598,岱宇國際股份有限公司,岱宇國際股份有限公司國內第四次無擔保轉換公司債,114/03/03,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=15984&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1598&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4439,冠星集團控股有限公司,冠星集團控股有限公司中華民國境內第一次無擔保轉換公司債,114/03/03,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=44391&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4439&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1436,華友聯開發股份有限公司,華友聯開發股份有限公司國內第四次無擔保轉換公司債,114/03/18,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=14364&bond_kind=5&bond_subn=%24M00000001&bond_yrn=4&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1436&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,5450,南良國際股份有限公司,南良國際股份有限公司國內第一次有擔保轉換公司債,112/03/21,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=54501&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=5450&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2337,旺宏電子股份有限公司,旺宏電子股份有限公司國內第二次無擔保轉換公司債,114/03/24,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=23372&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2337&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,2727,王品餐飲股份有限公司,王品餐飲股份有限公司國內第一次無擔保轉換公司債,112/03/29,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=27271&bond_kind=5&bond_subn=%24M00000001&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=2727&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,1474,弘裕企業股份有限公司,弘裕企業股份有限公司國內第三次無擔保轉換公司債,114/03/31,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=14743&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=1474&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,3484,崧騰企業股份有限公司,崧騰企業股份有限公司國內第三次無擔保轉換公司債,112/04/24,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=34843&bond_kind=5&bond_subn=%24M00000001&bond_yrn=3&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=3484&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4123,晟德大藥廠股份有限公司,晟德大藥廠股份有限公司國內第六次有擔保轉換公司債,112/04/26,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=41236&bond_kind=5&bond_subn=%24M00000001&bond_yrn=6&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4123&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,4123,晟德大藥廠股份有限公司,晟德大藥廠股份有限公司國內第七次無擔保轉換公司債,112/04/27,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=41237&bond_kind=5&bond_subn=%24M00000001&bond_yrn=7&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=4123&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,8087,麗升能源科技股份有限公司,麗升能源科技股份有限公司國內第二次無擔保轉換公司債,114/05/02,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=80872&bond_kind=5&bond_subn=%24M00000001&bond_yrn=2&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=8087&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6771,平和環保科技股份有限公司,平和環保科技股份有限公司國內第一次有擔保轉換公司債,114/05/08,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=67711&bond_kind=5&bond_subn=%24M00000002&bond_yrn=1&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6771&monyr_reg=202608&pg=&step=0&tg=
2026-09-04,6290,良維科技股份有限公司,良維科技股份有限公司國內第十次無擔保轉換公司債,114/05/13,https://mopsov.twse.com.tw/mops/web/t120sg01?TYPEK=&bond_id=629010&bond_kind=5&bond_subn=%24M00000001&bond_yrn=10&come=2&encodeURIComponent=1&firstin=ture&issuer_stock_code=6290&monyr_reg=202608&pg=&step=0&tg=
